IP,Country,Download,Upload,Latency,ISP,Timestamp,Latitude,Longitude,ConnectionType,DeviceID,POP,AppID,ExchangeName
94.249.54.69 HTTP/1.1,IT,7.241,8.016,159,0,1544809608753,31.95,35.9333,fixed,003defd9-7f5e-4f96-8de9-783f23e19857,MRS,13224155,Mopub
92.241.51.42 HTTP/1.1,DE,7.412,2.278,166,0,1544809614757,31.95,35.9333,cellular,ef42d66f-7df9-410b-8e8d-ecc2efb0d005,FRA,13224155,Mopub
188.247.73.69 HTTP/1.1,US,3.494,3.570,237,0,1544809616754,31.95,35.9333,cellular,f952aa6b-8881-44a7-8bdd-2697903f740e,RUH,13224155,Mopub
92.241.52.219 HTTP/1.1,DE,5.839,8.373,145,0,1544809619253,31.95,35.9333,cellular,cdf3ba09-cade-41cf-bc01-d3ebacf17cb8,FRA,579914,Mopub
92.241.51.18 HTTP/1.1,DE,9.490,4.387,94,0,1544809619353,31.95,35.9333,cellular,5146c9fe-de22-4c3f-9b15-39a438c3e0ff,FRA,933694,Mopub
188.247.72.119 HTTP/1.1,US,0.757,4.198,81,0,1544809619354,31.95,35.9333,cellular,3315ebc2-77b5-4da0-8176-079cbd2bd5e2,RUH,13224155,Mopub
46.32.124.106 HTTP/1.1,US,0.484,0.000,62,0,1544809626253,31.95,35.9333,cellular,e427bfb2-eee2-4ff2-a97c-4997e1f289cf,RUH,579914,Mopub
149.200.203.199 HTTP/1.1,IT,3.610,2.827,398,0,1544809629653,31.95,35.9333,fixed,3a67e658-428c-4b16-be19-4a341845f840,MRS,15846075,Mopub
46.32.125.228 HTTP/1.1,US,12.522,9.443,63,0,1544809631461,31.95,35.9333,cellular,ec340f94-4ecb-4e8f-83ad-28439e8a6628,RUH,4103398,Mopub
188.247.74.219 HTTP/1.1,US,0.669,5.807,128,0,1544809634359,31.95,35.9333,cellular,4e1da05a-2f86-4d01-bff0-031181fa03e0,RUH,783426,Mopub
92.241.36.204 HTTP/1.1,DE,17.977,1.926,122,0,1544809635054,31.95,35.9333,fixed,1d825fba-fde4-451a-9eac-7368ced3981c,FRA,15846075,Mopub
212.34.12.251 HTTP/1.1,IT,3.484,0.000,383,0,1544809637753,31.95,35.9333,fixed,bb657125-2f68-4e73-b212-ddc20b3c3612,MRS,783426,Mopub
188.247.78.195 HTTP/1.1,US,1.014,24.838,75,0,1544809642554,31.95,35.9333,fixed,41fd98c8-1361-4032-a695-7a5c050b306f,RUH,13224155,Mopub
188.247.79.204 HTTP/1.1,US,0.788,3.424,91,0,1544809644061,31.95,35.9333,cellular,128ec9c2-4f6b-434b-a95d-8e8dc60a3251,RUH,13224155,Mopub
92.241.52.219 HTTP/1.1,DE,10.949,8.273,97,0,1544809649153,31.95,35.9333,cellular,cdf3ba09-cade-41cf-bc01-d3ebacf17cb8,FRA,579914,Mopub
37.202.115.143 HTTP/1.1,IT,33.182,40.656,91,0,1544809660755,31.95,35.9333,fixed,899df8e4-c76a-4517-8a5f-d97e2dc803cc,MRS,13224155,Mopub
92.241.32.160 HTTP/1.1,DE,2.102,3.158,145,0,1544809667757,31.95,35.9333,fixed,b7d37529-ced9-44de-a887-473eb65f89a9,FRA,13224155,Mopub
37.123.86.32 HTTP/1.1,US,1.411,5.407,65,0,1544809668361,31.95,35.9333,fixed,6c34e665-11e8-4e5a-a943-f491f08c2513,RUH,898297,Mopub
92.241.48.86 HTTP/1.1,DE,3.344,10.882,105,0,1544809672054,31.95,35.9333,cellular,3f0eef12-81a3-40ba-afc0-0190b4d08db5,FRA,100665,Mopub
188.247.78.165 HTTP/1.1,US,13.057,4.017,134,0,1544809673657,31.95,35.9333,cellular,90342b7b-4dfd-4b1d-b90b-477dd71a187a,RUH,100359,Mopub
92.241.51.18 HTTP/1.1,DE,12.578,5.252,147,0,1544809678259,31.95,35.9333,cellular,5146c9fe-de22-4c3f-9b15-39a438c3e0ff,FRA,933694,Mopub
212.34.20.124 HTTP/1.1,IT,6.632,10.028,113,0,1544809678959,32.5556,35.85,cellular,d7eaf80c-373a-465e-9ad3-38db8d7711dc,MRS,579914,Mopub
212.34.23.139 HTTP/1.1,IT,3.586,3.300,225,0,1544809680359,31.95,35.9333,cellular,5aa46c14-3859-40d6-8637-13ad11b45930,MRS,4103400,Mopub
149.200.219.91 HTTP/1.1,IT,13.346,3.476,90,0,1544809680359,31.95,35.9333,fixed,b42142e5-e804-4f78-a063-532cb2fdbbc9,MRS,15846075,Mopub
92.241.35.180 HTTP/1.1,DE,0.956,1.828,149,0,1544809681159,31.95,35.9333,cellular,7a4b909c-a9ce-4878-bcd5-251a90ac1e8a,FRA,4103398,Mopub
212.34.12.63 HTTP/1.1,IT,0.605,2.731,106,0,1544809687252,31.95,35.9333,cellular,898a66ab-475a-457b-8b3d-1e5eed1edcbb,MRS,587051,Mopub
92.241.41.206 HTTP/1.1,DE,3.556,2.413,156,0,1544809694859,31.95,35.9333,cellular,fbcf1cb7-f6ba-4450-a2da-7bf5897144a9,FRA,100418,Mopub
92.241.39.18 HTTP/1.1,DE,6.511,0.000,118,0,1544809699555,31.95,35.9333,fixed,8efb4e87-2d67-464c-93c8-4f8ad2ba04b4,FRA,13224155,Mopub
37.202.102.215 HTTP/1.1,IT,8.920,3.472,135,0,1544809701054,31.95,35.9333,fixed,83f9da16-5671-4eb7-aedb-5d3fac6614d6,MRS,15846075,Mopub
176.57.19.178 HTTP/1.1,US,12.521,1.786,66,0,1544809701154,31.95,35.9333,fixed,7eca0ee2-16f8-46cb-bf67-ccd88fbd836b,RUH,898297,Mopub
37.202.70.71 HTTP/1.1,IT,3.092,2.832,213,0,1544809708054,31.95,35.9333,fixed,ec8701e8-26f8-4824-9e19-71a8cd43d5dd,MRS,15846075,Mopub
